ligand	receptor
Il22	Gm21970
Il22	Il10rb
Il22b	Gm21970
Il22b	Il10rb
Kl	Igf1r
Ngf	Sort1
Pomc	Vtn
Tnfsf12	Tnfrsf25
Pomc	Mc1r
Fgf23	Fgfr1
Cxcl5	Cxcr1
Ifna15	Ifnar1
Ifna14	Ifnar1
Ifna9	Ifnar1
Ifna12	Ifnar1
Ifna13	Ifnar1
Ifna16	Ifnar1
Ifna2	Ifnar1
Ifnab	Ifnar1
Ifna7	Ifnar1
Ifna11	Ifnar1
Ifna6	Ifnar1
Ifna5	Ifnar1
Ifna4	Ifnar1
Ifna1	Ifnar1
Vip	Vipr1
Il8	Cxcr2
Il8	Cxcr1
Egf	Erbb3
Mdk	Lrp1
F2	F2rl3
Fshb	Fshr
Ucn	Crhr2
Tgfb2	Vtn
Ccl5	Cxcr3
Tgfb1	Itgb8
Gh	Ghr
Ntf5	Ngfr
Esm1	Itgb2l
Esm1	Itgb2
Tnxb	Itgb6
Col4a3	Sdc4
Col6a6	Sdc4
Bmp3	Acvr1
Eda	Edar
Col4a1	Itga2
Lamb1	Dag1
